2019-08-17 15:40:21 | INFO | Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-17 15:40:22 | INFO | Initializing Spring embedded WebApplicationContext
2019-08-17 15:40:22 | INFO | Root WebApplicationContext: initialization completed in 872 ms
2019-08-17 15:40:22 | INFO | Initializing ExecutorService 'applicationTaskExecutor'
2019-08-17 15:40:22 | INFO | Starting ProtocolHandler ["http-nio-8080"]
2019-08-17 15:40:22 | INFO | Tomcat started on port(s): 8080 (http) with context path ''
2019-08-17 15:40:22 | INFO | Started MyappApplication in 1.995 seconds (JVM running for 2.731)
2019-08-17 15:40:24 | INFO | Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-17 15:40:24 | INFO | Initializing Servlet 'dispatcherServlet'
2019-08-17 15:40:24 | INFO | Completed initialization in 5 ms
2019-08-17 15:40:24 | INFO | HikariPool-1 - Starting...
2019-08-17 15:40:25 | INFO | HikariPool-1 - Start completed.
2019-08-17 15:40:36 | INFO | Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-17 15:40:36 | INFO | HikariPool-1 - Shutdown initiated...
2019-08-17 15:40:36 | INFO | HikariPool-1 - Shutdown completed.
2019-08-17 15:40:39 | INFO | Starting MyappApplication on MacBook-Pro-2.local with PID 9048 (/Users/HY/IdeaProjects/myapp/target/classes started by HY in /Users/HY/IdeaProjects/myapp)
2019-08-17 15:40:39 | INFO | No active profile set, falling back to default profiles: default
2019-08-17 15:40:40 | INFO | Tomcat initialized with port(s): 8080 (http)
2019-08-17 15:40:40 | INFO | Initializing ProtocolHandler ["http-nio-8080"]
2019-08-17 15:40:40 | INFO | Starting service [Tomcat]
2019-08-17 15:40:40 | INFO | Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-17 15:40:40 | INFO | Initializing Spring embedded WebApplicationContext
2019-08-17 15:40:40 | INFO | Root WebApplicationContext: initialization completed in 849 ms
2019-08-17 15:40:40 | INFO | Initializing ExecutorService 'applicationTaskExecutor'
2019-08-17 15:40:40 | INFO | Starting ProtocolHandler ["http-nio-8080"]
2019-08-17 15:40:40 | INFO | Tomcat started on port(s): 8080 (http) with context path ''
2019-08-17 15:40:40 | INFO | Started MyappApplication in 1.924 seconds (JVM running for 2.719)
2019-08-17 15:42:19 | INFO | Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-17 15:42:19 | INFO | Initializing Servlet 'dispatcherServlet'
2019-08-17 15:42:19 | INFO | Completed initialization in 6 ms
2019-08-17 15:42:19 | INFO | HikariPool-1 - Starting...
2019-08-17 15:42:20 | INFO | HikariPool-1 - Start completed.
2019-08-17 15:43:54 | INFO | Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-17 15:43:54 | INFO | HikariPool-1 - Shutdown initiated...
2019-08-17 15:43:54 | INFO | HikariPool-1 - Shutdown completed.
2019-08-17 15:43:57 | INFO | Starting MyappApplication on MacBook-Pro-2.local with PID 9301 (/Users/HY/IdeaProjects/myapp/target/classes started by HY in /Users/HY/IdeaProjects/myapp)
2019-08-17 15:43:57 | INFO | No active profile set, falling back to default profiles: default
2019-08-17 15:43:58 | INFO | Tomcat initialized with port(s): 8080 (http)
2019-08-17 15:43:58 | INFO | Initializing ProtocolHandler ["http-nio-8080"]
2019-08-17 15:43:58 | INFO | Starting service [Tomcat]
2019-08-17 15:43:58 | INFO | Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-17 15:43:58 | INFO | Initializing Spring embedded WebApplicationContext
2019-08-17 15:43:58 | INFO | Root WebApplicationContext: initialization completed in 1101 ms
2019-08-17 15:43:59 | INFO | Initializing ExecutorService 'applicationTaskExecutor'
2019-08-17 15:43:59 | INFO | Starting ProtocolHandler ["http-nio-8080"]
2019-08-17 15:43:59 | INFO | Tomcat started on port(s): 8080 (http) with context path ''
2019-08-17 15:43:59 | INFO | Started MyappApplication in 2.413 seconds (JVM running for 3.404)
2019-08-17 15:44:01 | INFO | Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-17 15:44:01 | INFO | Initializing Servlet 'dispatcherServlet'
2019-08-17 15:44:01 | INFO | Completed initialization in 5 ms
2019-08-17 15:44:01 | INFO | HikariPool-1 - Starting...
2019-08-17 15:44:01 | INFO | HikariPool-1 - Start completed.
2019-08-17 15:46:53 | INFO | Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-17 15:46:53 | INFO | HikariPool-1 - Shutdown initiated...
2019-08-17 15:46:53 | INFO | HikariPool-1 - Shutdown completed.
2019-08-17 15:46:57 | INFO | Starting MyappApplication on MacBook-Pro-2.local with PID 9531 (/Users/HY/IdeaProjects/myapp/target/classes started by HY in /Users/HY/IdeaProjects/myapp)
2019-08-17 15:46:57 | INFO | No active profile set, falling back to default profiles: default
2019-08-17 15:46:58 | INFO | Tomcat initialized with port(s): 8080 (http)
2019-08-17 15:46:58 | INFO | Initializing ProtocolHandler ["http-nio-8080"]
2019-08-17 15:46:58 | INFO | Starting service [Tomcat]
2019-08-17 15:46:58 | INFO | Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-17 15:46:58 | INFO | Initializing Spring embedded WebApplicationContext
2019-08-17 15:46:58 | INFO | Root WebApplicationContext: initialization completed in 912 ms
2019-08-17 15:46:58 | INFO | Initializing ExecutorService 'applicationTaskExecutor'
2019-08-17 15:46:58 | INFO | Starting ProtocolHandler ["http-nio-8080"]
2019-08-17 15:46:58 | INFO | Tomcat started on port(s): 8080 (http) with context path ''
2019-08-17 15:46:58 | INFO | Started MyappApplication in 2.089 seconds (JVM running for 2.984)
2019-08-17 15:47:09 | INFO | Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-17 15:47:11 | INFO | Starting MyappApplication on MacBook-Pro-2.local with PID 9553 (/Users/HY/IdeaProjects/myapp/target/classes started by HY in /Users/HY/IdeaProjects/myapp)
2019-08-17 15:47:11 | INFO | No active profile set, falling back to default profiles: default
2019-08-17 15:47:12 | INFO | Tomcat initialized with port(s): 8080 (http)
2019-08-17 15:47:12 | INFO | Initializing ProtocolHandler ["http-nio-8080"]
2019-08-17 15:47:12 | INFO | Starting service [Tomcat]
2019-08-17 15:47:12 | INFO | Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-17 15:47:12 | INFO | Initializing Spring embedded WebApplicationContext
2019-08-17 15:47:12 | INFO | Root WebApplicationContext: initialization completed in 983 ms
2019-08-17 15:47:13 | INFO | Initializing ExecutorService 'applicationTaskExecutor'
2019-08-17 15:47:13 | INFO | Starting ProtocolHandler ["http-nio-8080"]
2019-08-17 15:47:13 | INFO | Tomcat started on port(s): 8080 (http) with context path ''
2019-08-17 15:47:13 | INFO | Started MyappApplication in 2.208 seconds (JVM running for 3.379)
2019-08-17 15:47:21 | INFO | Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-17 15:47:21 | INFO | Initializing Servlet 'dispatcherServlet'
2019-08-17 15:47:21 | INFO | Completed initialization in 5 ms
2019-08-17 15:47:21 | INFO | HikariPool-1 - Starting...
2019-08-17 15:47:22 | INFO | HikariPool-1 - Start completed.
2019-08-17 15:49:06 | INFO | Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-17 15:49:06 | INFO | HikariPool-1 - Shutdown initiated...
2019-08-17 15:49:06 | INFO | HikariPool-1 - Shutdown completed.
2019-08-17 15:49:09 | INFO | Starting MyappApplication on MacBook-Pro-2.local with PID 9715 (/Users/HY/IdeaProjects/myapp/target/classes started by HY in /Users/HY/IdeaProjects/myapp)
2019-08-17 15:49:09 | INFO | No active profile set, falling back to default profiles: default
2019-08-17 15:49:10 | INFO | Tomcat initialized with port(s): 8080 (http)
2019-08-17 15:49:10 | INFO | Initializing ProtocolHandler ["http-nio-8080"]
2019-08-17 15:49:10 | INFO | Starting service [Tomcat]
2019-08-17 15:49:10 | INFO | Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-17 15:49:10 | INFO | Initializing Spring embedded WebApplicationContext
2019-08-17 15:49:10 | INFO | Root WebApplicationContext: initialization completed in 870 ms
2019-08-17 15:49:11 | INFO | Initializing ExecutorService 'applicationTaskExecutor'
2019-08-17 15:49:11 | INFO | Starting ProtocolHandler ["http-nio-8080"]
2019-08-17 15:49:11 | INFO | Tomcat started on port(s): 8080 (http) with context path ''
2019-08-17 15:49:11 | INFO | Started MyappApplication in 2.0 seconds (JVM running for 2.808)
2019-08-17 15:49:14 | INFO | Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-17 15:49:14 | INFO | Initializing Servlet 'dispatcherServlet'
2019-08-17 15:49:14 | INFO | Completed initialization in 6 ms
2019-08-17 15:49:14 | INFO | HikariPool-1 - Starting...
2019-08-17 15:49:15 | INFO | HikariPool-1 - Start completed.
2019-08-17 15:54:22 | WARN | HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6e9cc59b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2019-08-17 15:54:27 | WARN | HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@12d7601e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2019-08-17 15:54:32 | WARN | HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@61fa501f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2019-08-17 15:54:37 | WARN | HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2dfb64e7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2019-08-17 15:54:40 | INFO | Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-17 15:54:40 | INFO | HikariPool-1 - Shutdown initiated...
2019-08-17 15:54:40 | WARN | HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7ac774c3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2019-08-17 15:54:40 | INFO | HikariPool-1 - Shutdown completed.
2019-08-17 15:54:42 | WARN | Failed to perform cleanup of multipart items
java.lang.NullPointerException: null
	at org.apache.catalina.connector.Request.parseParts(Request.java:2803) ~[tomcat-embed-core-9.0.21.jar:9.0.21]
	at org.apache.catalina.connector.Request.getParts(Request.java:2780) ~[tomcat-embed-core-9.0.21.jar:9.0.21]
	at org.apache.catalina.connector.RequestFacade.getParts(RequestFacade.java:1098) ~[tomcat-embed-core-9.0.21.jar:9.0.21]
	at javax.servlet.http.HttpServletRequestWrapper.getParts(HttpServletRequestWrapper.java:356) ~[tomcat-embed-core-9.0.21.jar:9.0.21]
	at org.springframework.web.multipart.support.StandardServletMultipartResolver.cleanupMultipart(StandardServletMultipartResolver.java:97) [spring-web-5.1.8.RELEASE.jar:5.1.8.RELEASE]
	at org.springframework.web.servlet.DispatcherServlet.cleanupMultipart(DispatcherServlet.java:1217) [spring-webmvc-5.1.8.RELEASE.jar:5.1.8.RELEASE]
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1075) [spring-webmvc-5.1.8.RELEASE.jar:5.1.8.RELEASE]
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:942) [spring-webmvc-5.1.8.RELEASE.jar:5.1.8.RELEASE]
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1005) [spring-webmvc-5.1.8.RELEASE.jar:5.1.8.RELEASE]
	at org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:908) [spring-webmvc-5.1.8.RELEASE.jar:5.1.8.RELEASE]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:660) [tomcat-embed-core-9.0.21.jar:9.0.21]
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:882) [spring-webmvc-5.1.8.RELEASE.jar:5.1.8.RELEASE]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:741) [tomcat-embed-core-9.0.21.jar:9.0.21]
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:231) [tomcat-embed-core-9.0.21.jar:9.0.21]
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166) [tomcat-embed-core-9.0.21.jar:9.0.21]
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:53) [tomcat-embed-websocket-9.0.21.jar:9.0.21]
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193) [tomcat-embed-core-9.0.21.jar:9.0.21]
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166) [tomcat-embed-core-9.0.21.jar:9.0.21]
